temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
22.02,49.87,0.25,65.0,10.71844999999998,[22.02    49.87     0.25    65.      10.71845],[-3.3140851   1.32583869  0.          0.         -0.35451643],0
22.02,49.99,0.25,65.0,34.611200000000416,[22.02   49.99    0.25   65.     34.6112],[-3.3140851   1.35699072  0.          0.         -0.35328704],0
22.05,49.85,0.25,65.0,219.45125000000334,[ 22.05     49.85      0.25     65.      219.45125],[-3.24894265  1.32064668  0.          0.         -0.34377615],0
22.05,50.0,0.25,65.0,0.21124999999998523,[22.05    50.       0.25    65.       0.21125],[-3.24894265  1.35958673  0.          0.         -0.35505708],0
22.13,49.33,0.25,65.0,3.075200000000045,[22.13   49.33    0.25   65.      3.0752],[-3.07522946  1.18565453  0.          0.         -0.35490971],0
22.17,49.61,0.25,65.0,719.7218000000021,[2.217000e+01 4.961000e+01 2.500000e-01 6.500000e+01 7.197218e+02],[-2.98837286  1.25834261  0.          0.         -0.31803487],0
22.19,49.57,0.25,65.0,640.1042000000031,[2.219000e+01 4.957000e+01 2.500000e-01 6.500000e+01 6.401042e+02],[-2.94494457  1.2479586   0.          0.         -0.32213157],0
22.19,49.77,0.25,65.0,5.152049999999022,[22.19    49.77     0.25    65.       5.15205],[-2.94494457  1.29987866  0.          0.         -0.35480285],0
22.2,49.48,0.25,65.0,1.9012499999998669,[22.2     49.48     0.25    65.       1.90125],[-2.92323042  1.22459458  0.          0.         -0.35497012],0
22.2,49.69,0.25,65.0,397.0561999999954,[2.220000e+01 4.969000e+01 2.500000e-01 6.500000e+01 3.970562e+02],[-2.92323042  1.27911064  0.          0.         -0.33463754],0
22.22,49.51,0.25,65.0,0.20479999999991852,[22.22   49.51    0.25   65.      0.2048],[-2.87980212  1.23238258  0.          0.         -0.35505741],0
22.23,49.38,0.25,65.0,6.956450000000068,[22.23    49.38     0.25    65.       6.95645],[-2.85808797  1.19863455  0.          0.         -0.35471001],0
22.23,49.73,0.25,65.0,249.31444999999837,[ 22.23     49.73      0.25     65.      249.31445],[-2.85808797  1.28949465  0.          0.         -0.34223955],0
22.23,50.22,0.25,65.0,5.544449999999758,[22.23    50.22     0.25    65.       5.54445],[-2.85808797  1.41669879  0.          0.         -0.35478266],0
22.25,49.77,0.25,65.0,1.6380499999999012,[22.25    49.77     0.25    65.       1.63805],[-2.81465967  1.29987866  0.          0.         -0.35498366],0
22.25,49.83,0.25,65.0,3.2257999999999076,[22.25   49.83    0.25   65.      3.2258],[-2.81465967  1.31545468  0.          0.         -0.35490197],0
22.26,49.76,0.25,65.0,17.3192666666666,[22.26       49.76        0.25       65.         17.31926667],[-2.79294552  1.29728266  0.          0.         -0.35417679],0
22.26,49.93,0.25,65.0,6.9937999999996086,[22.26   49.93    0.25   65.      6.9938],[-2.79294552  1.34141471  0.          0.         -0.35470808],0
22.26,50.01,0.25,65.0,1.3612499999995873,[22.26    50.01     0.25    65.       1.36125],[-2.79294552  1.36218273  0.          0.         -0.35499791],0
22.31,49.51,0.25,65.0,0.5124333333332795,[22.31       49.51        0.25       65.          0.51243333],[-2.68437478  1.23238258  0.          0.         -0.35504158],0
22.32,41.89,0.25,65.0,171.01083333333284,[ 22.32        41.89         0.25        65.         171.01083333],[-2.66266063 -0.74577162  0.          0.         -0.34626864],2
22.32,49.54,0.25,65.0,2.101249999999674,[22.32    49.54     0.25    65.       2.10125],[-2.66266063  1.24017059  0.          0.         -0.35495983],0
22.33,41.59,0.25,65.0,22891.58045000003,"[2.23300000e+01 4.15900000e+01 2.50000000e-01 6.50000000e+01
 2.28915805e+04]",[-2.64094648 -0.8236517   0.          0.          0.82281159],2
22.33,41.89,0.25,65.0,34269.61999999996,[2.233000e+01 4.189000e+01 2.500000e-01 6.500000e+01 3.426962e+04],[-2.64094648 -0.74577162  0.          0.          1.40826527],2
22.33,41.91,0.25,65.0,34645.01645,"[2.23300000e+01 4.19100000e+01 2.50000000e-01 6.50000000e+01
 3.46450165e+04]",[-2.64094648 -0.74057961  0.          0.          1.42758119],2
22.33,42.07,0.25,65.0,62.83205000000041,[22.33    42.07     0.25    65.      62.83205],[-2.64094648 -0.69904356  0.          0.         -0.35183494],2
22.33,49.52,0.25,65.0,0.02419999999998099,[2.233e+01 4.952e+01 2.500e-01 6.500e+01 2.420e-02],[-2.64094648  1.23497859  0.          0.         -0.3550667 ],0
22.35,41.42,0.25,65.0,1.3612499999995873,[22.35    41.42     0.25    65.       1.36125],[-2.59751818 -0.86778375  0.          0.         -0.35499791],2
22.35,41.87,0.25,65.0,19495.99093333334,"[2.23500000e+01 4.18700000e+01 2.50000000e-01 6.50000000e+01
 1.94959909e+04]",[-2.59751818 -0.75096362  0.          0.          0.64809253],2
22.36,41.66,0.25,65.0,8.24179999999978,[22.36   41.66    0.25   65.      8.2418],[-2.57580403 -0.80547968  0.          0.         -0.35464387],2
22.36,42.01,0.25,65.0,34175.43680000002,"[2.23600000e+01 4.20100000e+01 2.50000000e-01 6.50000000e+01
 3.41754368e+04]",[-2.57580403 -0.71461958  0.          0.          1.40341911],2
22.38,41.32,0.25,65.0,8153.2449000000215,[2.2380000e+01 4.1320000e+01 2.5000000e-01 6.5000000e+01 8.1532449e+03],[-2.53237573 -0.89374378  0.          0.          0.06445487],2
22.38,41.83,0.25,65.0,33478.368800000026,"[2.23800000e+01 4.18300000e+01 2.50000000e-01 6.50000000e+01
 3.34783688e+04]",[-2.53237573 -0.76134763  0.          0.          1.36755168],2
22.38,41.84,0.25,65.0,33.04844999999996,[22.38    41.84     0.25    65.      33.04845],[-2.53237573 -0.75875163  0.          0.         -0.35336745],2
22.38,49.73,0.25,65.0,5.024450000000231,[22.38    49.73     0.25    65.       5.02445],[-2.53237573  1.28949465  0.          0.         -0.35480942],0
