temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
20.08,38.33,0.0,58.72,3.251249999999884,[20.08    38.33     0.      58.72     3.25125],[-1.63113618 -0.19506154 -0.04311306 -1.13549604  0.27110223],0
20.14,38.38,0.0,58.72,2.9767999999999946,[20.14   38.38    0.     58.72    2.9768],[-1.58640773 -0.1916339  -0.04311306 -1.13549604  0.20407106],0
20.32,32.63,0.0,68.56,0.5512500000000716,[20.32    32.63     0.      68.56     0.55125],[-1.45222238 -0.58581293 -0.04311306  0.34671065 -0.38834088],0
20.33,32.64,0.0,68.56,0.5407999999999622,[20.33   32.64    0.     68.56    0.5408],[-1.44476764 -0.5851274  -0.04311306  0.34671065 -0.39089316],0
20.46,31.52,0.0,70.51,0.7080500000000649,[20.46    31.52     0.      70.51     0.70805],[-1.347856   -0.66190662 -0.04311306  0.64044064 -0.35004433],0
20.49,31.78,0.0,70.51,0.5408000000000213,[20.49   31.78    0.     70.51    0.5408],[-1.32549178 -0.64408287 -0.04311306  0.64044064 -0.39089316],0
20.54,31.82,0.0,70.51,0.47045000000002646,[20.54    31.82     0.      70.51     0.47045],[-1.28821807 -0.64134076 -0.04311306  0.64044064 -0.40807532],0
20.66,32.82,0.0,70.51,0.1104499999999861,[20.66    32.82     0.      70.51     0.11045],[-1.19876117 -0.57278788 -0.04311306  0.64044064 -0.49600107],0
20.69,32.81,0.0,70.51,0.10580000000001673,[20.69   32.81    0.     70.51    0.1058],[-1.17639694 -0.57347341 -0.04311306  0.64044064 -0.49713678],0
20.7,32.82,0.0,70.51,0.096800000000024,[20.7    32.82    0.     70.51    0.0968],[-1.1689422  -0.57278788 -0.04311306  0.64044064 -0.49933492],0
20.95,35.53,0.0,62.12,0.0032000000000078216,[2.095e+01 3.553e+01 0.000e+00 6.212e+01 3.200e-03],[-0.98257366 -0.38700959 -0.04311306 -0.62335145 -0.52219561],0
21.0,20.15,0.0,73.73,0.0024499999999955434,[2.100e+01 2.015e+01 0.000e+00 7.373e+01 2.450e-03],[-0.94529996 -1.4413528  -0.04311306  1.12547169 -0.52237879],0
21.0,20.28,0.0,73.73,0.06845000000002271,[2.100e+01 2.028e+01 0.000e+00 7.373e+01 6.845e-02],[-0.94529996 -1.43244092 -0.04311306  1.12547169 -0.50625907],0
21.0,20.44,0.0,73.73,0.2982249999999627,[21.       20.44      0.       73.73      0.298225],[-0.94529996 -1.42147246 -0.04311306  1.12547169 -0.45013924],0
21.0,20.46,0.0,73.73,4.458799999999923,[21.     20.46    0.     73.73    4.4588],[-0.94529996 -1.42010141 -0.04311306  1.12547169  0.56603206],0
21.0,21.16,0.0,73.73,1.1400499999999862,[21.      21.16     0.      73.73     1.14005],[-0.94529996 -1.37211439 -0.04311306  1.12547169 -0.24453343],0
21.0,21.26,0.0,73.73,0.20103333333331364,[21.         21.26        0.         73.73        0.20103333],[-0.94529996 -1.36525911 -0.04311306  1.12547169 -0.47387716],0
21.0,21.27,0.0,62.12,12.650450000000149,[21.      21.27     0.      62.12    12.65045],[-0.94529996 -1.36457358 -0.04311306 -0.62335145  2.56674581],2
