#occupants;presence;date;millis;co2;temperature;humidity;volume;ventilation rate
1;True;2025-02-11 07:44:14.772000;1739259854772;1156.97;22.77;45.88;65;0.25
1;True;2025-02-11 07:44:19.826000;1739259859826;1156.6;22.76;45.9;65;0.25
1;True;2025-02-11 07:44:24.881000;1739259864881;1156.76;22.73;45.9;65;0.25
1;True;2025-02-11 07:44:29.937000;1739259869937;1156.77;22.71;45.88;65;0.25
1;True;2025-02-11 07:44:34.992000;1739259874992;1156.76;22.73;46.01;65;0.25
1;True;2025-02-11 07:44:40.046000;1739259880046;1157.54;22.7;45.89;65;0.25
1;True;2025-02-11 07:44:45.102000;1739259885102;1157.18;22.66;46.07;65;0.25
1;True;2025-02-11 07:44:50.156000;1739259890156;1157.38;22.7;46.06;65;0.25
1;True;2025-02-11 07:44:55.211000;1739259895211;1157.29;22.67;45.93;65;0.25
1;True;2025-02-11 07:45:00.266000;1739259900266;1156.1;22.7;46.03;65;0.25
1;True;2025-02-11 07:45:05.322000;1739259905322;1155.83;22.7;46.06;65;0.25
1;True;2025-02-11 07:45:10.376000;1739259910376;1155.84;22.73;46.08;65;0.25
1;True;2025-02-11 07:45:15.494000;1739259915494;1155.78;22.7;46.07;65;0.25
1;True;2025-02-11 07:45:20.548000;1739259920548;1156.41;22.7;46.17;65;0.25
1;True;2025-02-11 07:45:25.603000;1739259925603;1156.57;22.71;46.09;65;0.25
1;True;2025-02-11 07:45:30.658000;1739259930658;1156.07;22.71;45.89;65;0.25
1;True;2025-02-11 07:45:35.713000;1739259935713;1154.59;22.73;45.88;65;0.25
1;True;2025-02-11 07:45:40.767000;1739259940767;1153.86;22.73;46.1;65;0.25
1;True;2025-02-11 07:45:45.823000;1739259945823;1153.26;22.73;46.15;65;0.25
1;True;2025-02-11 07:45:50.877000;1739259950877;1152.23;22.76;46.12;65;0.25
1;True;2025-02-11 07:45:55.933000;1739259955933;1153.2;22.76;46.12;65;0.25
1;True;2025-02-11 07:46:00.988000;1739259960988;1153.67;22.76;46.07;65;0.25
1;True;2025-02-11 07:46:06.043000;1739259966043;1153.31;22.73;46.07;65;0.25
1;True;2025-02-11 07:46:11.097000;1739259971097;1153.15;22.74;46.14;65;0.25
1;True;2025-02-11 07:46:16.152000;1739259976152;1153.44;22.77;46.14;65;0.25
1;True;2025-02-11 07:46:21.206000;1739259981206;1153.68;22.76;46.15;65;0.25
