#occupants;presence;date;millis;co2;temperature;humidity;volume;ventilation rate;presence_shift;event_start;event_id;presence_analysis;start_time;end_time;start_co2;end_co2;cluster;measurement_decay_constant
1;True;2025-01-31 22:12:50.085;1738444370085;1535.22;23.51;46.51;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:12:55.128;1738361575128;1591.47;23.58;46.38;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:00.172;1738361580172;1577.78;23.56;46.36;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:05.249;1738361585249;1269.02;23.59;46.3;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:10.290;1738361590290;1395.3;23.59;46.22;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:15.333;1738361595333;1726.6;23.64;46.19;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:20.375;1738361600375;1690.77;23.65;46.18;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:25.417;1738361605417;1712.91;23.68;46.09;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:30.458;1738361610458;1691.72;23.7;45.99;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:35.500;1738361615500;1708.81;23.73;45.92;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:40.541;1738361620541;1708.35;23.75;45.87;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:45.583;1738361625583;1713.8;23.72;45.83;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:50.624;1738361630624;1711.85;23.75;45.8;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:13:55.665;1738361635665;1703.51;23.75;45.77;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:00.709;1738361640709;1689.89;23.75;45.8;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:05.751;1738361645751;1618.6;23.75;45.79;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:10.793;1738361650793;1601.39;23.78;45.8;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:15.835;1738361655835;1614.71;23.76;45.81;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:20.912;1738361660912;1642.15;23.83;45.76;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:25.954;1738361665954;1628.72;23.83;45.77;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:30.999;1738361670999;1623.82;23.82;45.71;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:36.041;1738361676041;1621.07;23.83;45.69;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:41.082;1738361681082;1617.15;23.86;45.66;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:46.125;1738361686125;1610.95;23.87;45.67;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:51.167;1738361691167;1608.11;23.87;45.6;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:14:56.209;1738361696209;1606.0;23.89;45.59;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:01.251;1738361701251;1603.46;23.89;45.58;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:06.293;1738361706293;1606.61;23.9;45.58;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:11.334;1738361711334;1609.84;23.95;45.55;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:16.376;1738361716376;1613.65;23.92;45.54;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:21.418;1738361721418;1614.66;23.92;45.51;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:26.459;1738361726459;1616.15;23.9;45.46;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:31.503;1738361731503;1616.89;23.96;45.44;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:36.580;1738361736580;1617.97;23.93;45.43;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:41.622;1738361741622;1535.33;23.95;45.44;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:46.664;1738361746664;1544.07;23.95;45.48;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:51.706;1738361751706;1558.91;23.93;45.49;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:15:56.747;1738361756747;1649.69;23.97;45.49;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:01.793;1738361761793;1674.64;23.97;45.44;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:06.835;1738361766835;1692.25;23.99;45.43;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:11.877;1738361771877;1706.26;23.99;45.45;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:16.920;1738361776920;1713.98;24.0;45.43;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:21.961;1738361781961;1720.78;24.05;45.36;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:27.003;1738361787003;1722.29;24.02;45.32;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:32.045;1738361792045;1726.35;24.0;45.28;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:37.087;1738361797087;1727.51;24.02;45.29;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:42.128;1738361802128;1731.69;24.0;45.29;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:47.170;1738361807170;1735.65;24.03;45.23;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:52.247;1738361812247;1738.99;24.05;45.29;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:16:57.289;1738361817289;1739.02;24.05;45.25;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:02.332;1738361822332;1742.75;24.03;45.23;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:07.374;1738361827374;1744.58;24.02;45.22;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:12.416;1738361832416;1748.81;24.06;45.29;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:17.458;1738361837458;1751.88;24.07;45.25;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:22.500;1738361842500;1750.8;24.06;45.21;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:27.542;1738361847542;1748.21;24.06;45.21;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:32.587;1738361852587;1747.13;24.07;45.19;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:37.629;1738361857629;1745.43;24.09;45.21;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:42.670;1738361862670;1742.12;24.09;45.13;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:47.713;1738361867713;1741.23;24.12;45.11;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:52.755;1738361872755;1740.57;24.12;45.07;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:17:57.796;1738361877796;1738.08;24.12;45.09;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:02.839;1738361882839;1737.41;24.15;45.1;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:07.916;1738361887916;1734.94;24.13;45.09;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:12.958;1738361892958;1734.49;24.16;45.1;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:17.999;1738361897999;1738.83;24.15;45.03;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:23.041;1738361903041;1743.81;24.16;45.04;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:28.082;1738361908082;1744.67;24.17;45.04;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:33.126;1738361913126;1747.31;24.19;44.98;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:38.169;1738361918169;1751.12;24.2;44.88;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:43.210;1738361923210;1756.2;24.19;44.95;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:48.252;1738361928252;1768.39;24.2;44.93;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:53.294;1738361933294;1781.75;24.16;44.9;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:18:58.336;1738361938336;1787.45;24.19;44.91;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:19:03.381;1738361943381;1800.36;24.16;44.89;12;0.25;True;False;;True;;;;;;
1;True;2025-01-31 22:19:08.422;1738361948422;1813.26;24.17;44.95;12;0.25;True;False;;True;;;;;;
